Pedal	Category	Type	Old Rating	Old Tag	New Rating	New Tag	Change
Old Blood Noise Procession	reverb	Ambient	7	dreamy	6	drippy	↓
One Control Purple Humper	reverb	Hall	7	dreamy	6	drippy	↓
Pladask Elektrisk Tåken	reverb	Ambient	7	dreamy	6	drippy	↓
Red Panda Context V2	reverb	Ambient	8	dreamy	6	drippy	↓
Source Audio True Spring	reverb	Spring	10	floating	8	dreamy	↓
Source Audio Ventris	reverb	Hall	9	floating	8	dreamy	↓
Strymon blueSky	reverb	Plate	8	dreamy	10	floating	↑
Strymon Flint	reverb	Hall	7	dreamy	8	dreamy	↑
Surfy Industries SurfyBear Compact	reverb	Spring	9	floating	5	drippy	↓
TC Electronic Drip Spring Reverb	reverb	Spring	7	dreamy	6	drippy	↓
TC Electronic Hall of Fame 2	reverb	Shimmer	10	floating	6	drippy	↓
TC Electronic Hall of Fame Mini	reverb	Hall	7	dreamy	6	drippy	↓
TC Electronic Skysurfer	reverb	Hall	5	drippy	6	drippy	↑
Walrus Audio Descent	reverb	Shimmer	8	dreamy	6	drippy	↓
Walrus Audio Fathom	reverb	Ambient	10	floating	6	drippy	↓
Walrus Audio Slö	reverb	Ambient	9	floating	6	drippy	↓
Walrus Audio Slotvå	reverb	Ambient	7	dreamy	6	drippy	↓
Wampler Reflection	reverb	Spring	9	floating	6	drippy	↓
Zoom MS-70CDR	reverb	Multi	7	dreamy	6	drippy	↓
Boss ES-5	utility	Switcher	8	geeked out	10	board scholar	↑
Boss ES-8	utility	Switcher	9	board scholar	10	board scholar	↑
Boss TU-3	utility	Tuner	5	pedal nerd	2	work smarter	↓
Boss TU-3W Waza	utility	Tuner	6	pedal nerd	2	work smarter	↓
Countryman Type 85	utility	DI	9	board scholar	4	router	↓
Empress Buffer+	utility	Buffer	7	geeked out	6	pedal nerd	↓
JHS Little Black Buffer	utility	Buffer	4	router	6	pedal nerd	↑
Korg Pitchblack Advance	utility	Tuner	5	pedal nerd	2	work smarter	↓
Korg Pitchblack Advance	utility	Tuner	5	pedal nerd	2	work smarter	↓
Lehle D.Loop SGoS	utility	Loop	9	board scholar	8	geeked out	↓
One Control Crocodile Tail Loop	utility	Loop	8	geeked out	10	board scholar	↑
Peterson StroboStomp HD	utility	Tuner	9	board scholar	2	work smarter	↓
Peterson StroboStomp HD	utility	Tuner	5	pedal nerd	2	work smarter	↓
Radial J48	utility	DI	8	geeked out	3	router	↓
Saturnworks Active A/B	utility	A/B Box	5	pedal nerd	3	router	↓
TC Electronic PolyTune 3	utility	Tuner	7	geeked out	2	work smarter	↓
TC Electronic PolyTune 3 Mini	utility	Tuner	6	pedal nerd	2	work smarter	↓
TC Electronic PolyTune 3 Mini Noir	utility	Tuner	5	pedal nerd	2	work smarter	↓
TC Electronic PolyTune 3 Noir	utility	Tuner	5	pedal nerd	2	work smarter	↓
Boss EV-30	volume	Expression	6	manager	3	in control	↓
Boss FV-30H	volume	Volume	5	manager	3	in control	↓
Boss FV-500H	volume	Volume	6	manager	3	in control	↓
Boss FV-500L	volume	Volume	6	manager	3	in control	↓
Dunlop DVP3 Volume (X)	volume	Volume	7	manager	3	in control	↓
Dunlop DVP4 Mini Volume	volume	Volume	5	manager	3	in control	↓
Ernie Ball MVP Most Valuable Pedal	volume	Volume	7	manager	3	in control	↓
Ernie Ball VP Jr 250K	volume	Volume	5	manager	3	in control	↓
Ernie Ball VP Jr 25K	volume	Volume	5	manager	3	in control	↓
Hotone Soul Press II	volume	Volume	6	manager	3	in control	↓
Lehle Mono Volume	volume	Volume	9	board admin	3	in control	↓
Mission Engineering EP-1	volume	Expression	7	manager	3	in control	↓
Moog EP-3	volume	Expression	6	manager	3	in control	↓
Morley PVO Pro Series Volume	volume	Volume	6	manager	3	in control	↓
Morley Volume Plus	volume	Volume	7	manager	3	in control	↓
Source Audio Dual Expression	volume	Expression	8	board admin	3	in control	↓
Xotic XVP-250K	volume	Volume	7	manager	3	in control	↓
